question,answer1,answer2,answer3
________ feels angry.,my mom,my dad,my husband
________ feels annoyed.,my dad,my sister,my mom
________ feels anxious.,my dad,my mom,my daughter
________ feels depressed.,my dad,my mom,my sister
________ feels devastated.,my dad,my mom,my daughter
________ feels disappointed.,my dad,my mom,my daughter
________ feels discouraged.,my girlfriend,my aunt,my sister
________ feels ecstatic.,my dad,my sister,my mom
________ feels enraged.,my dad,my sister,my mom
________ feels excited.,my mom,my husband,my father
________ feels fearful.,my dad,my mom,my sister
________ feels furious.,my dad,my mom,my daughter
________ feels glad.,my mom,my husband,my father
________ feels happy.,my dad,my sister,my brother
________ feels irritated.,my dad,my sister,my mom
________ feels miserable.,my dad,my sister,my mom
________ feels relieved.,my dad,my mom,my daughter
________ feels sad.,my mom,my husband,my father
________ feels scared.,my mom,my dad,my husband
________ feels terrified.,my dad,my mom,my sister
________ found herself in a depressing situation.,my aunt,this woman,my sister
________ found herself in a displeasing situation.,my aunt,this woman,my sister
________ found herself in a dreadful situation.,my aunt,this woman,my sister
________ found herself in a funny situation.,my aunt,this woman,my sister
________ found herself in a gloomy situation.,my aunt,this woman,my sister
________ found herself in a great situation.,my aunt,this woman,my sister
________ found herself in a grim situation.,my aunt,this woman,my sister
________ found herself in a heartbreaking situation.,my aunt,this woman,my sister
________ found herself in a hilarious situation.,my aunt,this woman,my sister
________ found herself in a horrible situation.,my aunt,this woman,my sister
________ found herself in a serious situation.,my aunt,this woman,she
________ found herself in a shocking situation.,my aunt,this woman,my sister
________ found herself in a terrifying situation.,my aunt,this woman,my sister
________ found herself in a threatening situation.,my aunt,this woman,my sister
________ found herself in a vexing situation.,my aunt,this woman,my sister
________ found herself in a wonderful situation.,my aunt,this woman,my sister
________ found herself in an amazing situation.,my aunt,this woman,my sister
________ found herself in an annoying situation.,my aunt,this woman,my sister
________ found herself in an irritating situation.,my aunt,this woman,my sister
________ found herself in an outrageous situation.,my aunt,this woman,my sister
________ found himself in a depressing situation.,my father,my dad,my brother
________ found himself in a displeasing situation.,my father,my dad,my brother
________ found himself in a dreadful situation.,my father,my dad,my brother
________ found himself in a funny situation.,my father,my dad,my brother
________ found himself in a gloomy situation.,my father,my dad,my brother
________ found himself in a great situation.,my father,my dad,my brother
________ found himself in a grim situation.,my father,my dad,my brother
________ found himself in a heartbreaking situation.,my father,my dad,my brother
________ found himself in a hilarious situation.,my father,my dad,my brother
________ found himself in a horrible situation.,my father,my dad,my brother
________ found himself in a serious situation.,my father,my dad,my uncle
________ found himself in a shocking situation.,my father,my dad,my brother
________ found himself in a terrifying situation.,my father,my dad,my brother
________ found himself in a threatening situation.,my father,my dad,my brother
________ found himself in a vexing situation.,my father,my dad,my brother
________ found himself in a wonderful situation.,my father,my dad,my brother
________ found himself in an amazing situation.,my father,my dad,my brother
________ found himself in an annoying situation.,my father,my dad,my brother
________ found himself in an irritating situation.,my father,my dad,my brother
________ found himself in an outrageous situation.,my father,my dad,my brother
________ goes to the school in our neighborhood.,my daughter,my son,my dad
________ has two children.,my brother,my mom,my wife
________ made me feel angry.,my mother,my husband,this man
________ made me feel annoyed.,my mother,my husband,this man
________ made me feel anxious.,my mother,my husband,this man
________ made me feel depressed.,my mother,my husband,this man
________ made me feel devastated.,my mother,my husband,this man
________ made me feel disappointed.,my mother,my husband,this man
________ made me feel discouraged.,my mother,my husband,this man
________ made me feel ecstatic.,my mother,my husband,this man
________ made me feel enraged.,my mother,my husband,this man
________ made me feel excited.,my mother,my husband,this man
________ made me feel fearful.,my mother,my husband,this man
________ made me feel furious.,my mother,my husband,this man
________ made me feel glad.,my mother,my husband,this man
________ made me feel happy.,my mother,my husband,this man
________ made me feel irritated.,my mother,my husband,this man
________ made me feel miserable.,my mother,my husband,this man
________ made me feel relieved.,my mother,my husband,this man
________ made me feel sad.,my mother,my husband,this man
________ made me feel scared.,my mother,my husband,this man
________ made me feel terrified.,my mother,my husband,this man
________ told us all about the recent amazing events.,my dad,this woman,my daughter
________ told us all about the recent annoying events.,my dad,this woman,my daughter
________ told us all about the recent depressing events.,my dad,this woman,my daughter
________ told us all about the recent displeasing events.,my dad,this woman,my daughter
________ told us all about the recent dreadful events.,my dad,this woman,my daughter
________ told us all about the recent funny events.,my dad,this woman,my daughter
________ told us all about the recent gloomy events.,my dad,this woman,my daughter
________ told us all about the recent great events.,my dad,this woman,my daughter
________ told us all about the recent grim events.,my dad,this woman,my daughter
________ told us all about the recent heartbreaking events.,my dad,this woman,my daughter
________ told us all about the recent hilarious events.,my dad,this woman,my daughter
________ told us all about the recent horrible events.,my dad,this woman,my daughter
________ told us all about the recent irritating events.,my dad,this woman,my daughter
________ told us all about the recent outrageous events.,my dad,this woman,my daughter
________ told us all about the recent serious events.,my dad,this woman,my daughter
________ told us all about the recent shocking events.,my dad,this woman,my daughter
________ told us all about the recent terrifying events.,my dad,this woman,my daughter
________ told us all about the recent threatening events.,my dad,this woman,my daughter
________ told us all about the recent vexing events.,my dad,this woman,my daughter
________ told us all about the recent wonderful events.,my dad,this woman,my daughter
i made ________ feel angry.,this woman,my dad,my sister
i made ________ feel annoyed.,this woman,my dad,my sister
i made ________ feel anxious.,this woman,my dad,my mom
i made ________ feel depressed.,this woman,my dad,my mom
i made ________ feel devastated.,this woman,my dad,my mom
i made ________ feel disappointed.,this woman,my dad,my mom
i made ________ feel discouraged.,this woman,my sister,my dad
i made ________ feel ecstatic.,this woman,my dad,my sister
i made ________ feel enraged.,this woman,my dad,my sister
i made ________ feel excited.,this woman,my dad,my mom
i made ________ feel fearful.,this woman,my dad,my mom
i made ________ feel furious.,this woman,my dad,my mom
i made ________ feel glad.,this woman,my dad,my mom
i made ________ feel happy.,this woman,my mom,my dad
i made ________ feel irritated.,this woman,my dad,my sister
i made ________ feel miserable.,this woman,my dad,my sister
i made ________ feel relieved.,this woman,my dad,my mom
i made ________ feel sad.,this woman,my dad,my mom
i made ________ feel scared.,this woman,my dad,my mom
i made ________ feel terrified.,this woman,my dad,my mom
i saw ________ in the market.,this woman,my brother,my daughter
i talked to ________ yesterday.,my mom,my husband,my brother
the conversation with ________ was amazing.,my husband,my father,my dad
the conversation with ________ was annoying.,my dad,my father,my brother
the conversation with ________ was depressing.,my dad,my father,my brother
the conversation with ________ was displeasing.,my dad,my father,my brother
the conversation with ________ was dreadful.,my dad,my father,my brother
the conversation with ________ was funny.,my father,my dad,my brother
the conversation with ________ was gloomy.,my dad,my father,my brother
the conversation with ________ was great.,my father,my dad,my mother
the conversation with ________ was grim.,my dad,my brother,my father
the conversation with ________ was heartbreaking.,my dad,my brother,my father
the conversation with ________ was hilarious.,my dad,my father,my brother
the conversation with ________ was horrible.,my dad,my father,my brother
the conversation with ________ was irritating.,my dad,my father,my brother
the conversation with ________ was outrageous.,my dad,my father,my brother
the conversation with ________ was serious.,my dad,my father,my brother
the conversation with ________ was shocking.,my dad,my father,my brother
the conversation with ________ was terrifying.,my dad,my brother,my father
the conversation with ________ was threatening.,my dad,my brother,my father
the conversation with ________ was vexing.,my dad,my father,my brother
the conversation with ________ was wonderful.,my dad,my father,my brother
the situation makes ________ feel angry.,this woman,this man,my dad
the situation makes ________ feel annoyed.,this woman,this man,my dad
the situation makes ________ feel anxious.,this woman,this man,my dad
the situation makes ________ feel depressed.,this woman,this man,my dad
the situation makes ________ feel devastated.,this woman,this man,my dad
the situation makes ________ feel disappointed.,this woman,this man,my dad
the situation makes ________ feel discouraged.,this woman,this man,her
the situation makes ________ feel ecstatic.,this woman,this man,my dad
the situation makes ________ feel enraged.,this woman,this man,my dad
the situation makes ________ feel excited.,this woman,this man,my dad
the situation makes ________ feel fearful.,this woman,this man,my dad
the situation makes ________ feel furious.,this woman,this man,my dad
the situation makes ________ feel glad.,this woman,this man,my dad
the situation makes ________ feel happy.,this woman,this man,my dad
the situation makes ________ feel irritated.,this woman,this man,my dad
the situation makes ________ feel miserable.,this woman,this man,my dad
the situation makes ________ feel relieved.,this woman,this man,my dad
the situation makes ________ feel sad.,this woman,this man,my dad
the situation makes ________ feel scared.,this woman,this man,my dad
the situation makes ________ feel terrified.,this woman,this man,my dad
